	0	1	2	3	4	5	6
0	Game		Result	Moves	Year	Event/Locale	Opening
1	51. Samadov vs Karpov		0-1	45	1966	URS-ch U18	B15 Caro-Kann
2	52. A Shakarov vs Karpov		½-½	22	1966	URS-ch U18	D35 Queen's Gambit Declined
3	53. Timoscenko vs Karpov		0-1	45	1966	URS-ch U18	C91 Ruy Lopez, Closed
4	54. Karpov vs V Lilein		½-½	36	1966	URS-ch U18	B24 Sicilian, Closed
5	55. Karpov vs V Dydyshko		0-1	20	1966	URS-ch U18	B01 Scandinavian
6	56. Karpov vs G Tsikhelashvili		1-0	39	1966	URS-ch U18	B24 Sicilian, Closed
7	57. Karpov vs A Chistiakov		1-0	75	1966	Masters-Candidate Masters	A07 King's Indian Attack
8	58. Karpov vs M Noakh		½-½	52	1966	Masters-Candidate Masters	C41 Philidor Defense
9	59. Alekseev vs Karpov		½-½	22	1966	Masters-Candidate Masters	A46 Queen's Pawn Game
10	60. Karpov vs M Noakh		1-0	46	1966	Masters-Candidate Masters	C43 Petrov, Modern Attack
11	61. Alekseev vs Karpov		½-½	23	1966	Masters-Candidate Masters	A46 Queen's Pawn Game
12	62. I A Zaitsev vs Karpov		½-½	14	1966	Masters-Candidate Masters	C43 Petrov, Modern Attack
13	63. A Chistiakov vs Karpov		0-1	36	1966	Masters-Candidate Masters	D53 Queen's Gambit Declined
14	64. Karpov vs A Chistiakov		½-½	45	1966	Masters-Candidate Masters	A07 King's Indian Attack
15	65. Karpov vs G Ravinsky		½-½	40	1966	Masters-Candidate Masters	C77 Ruy Lopez
16	66. G Ravinsky vs Karpov		½-½	19	1966	Masters-Candidate Masters	C62 Ruy Lopez, Old Steinitz Defense
17	67. M Noakh vs Karpov		0-1	100	1966	Masters-Candidate Masters	C68 Ruy Lopez, Exchange
18	68. Karpov vs I A Zaitsev		½-½	19	1966	Masters-Candidate Masters	B10 Caro-Kann
19	69. G Ravinsky vs Karpov		0-1	44	1966	Masters-Candidate Masters	C86 Ruy Lopez, Worrall Attack
20	70. Karpov vs Alekseev		½-½	29	1966	Masters-Candidate Masters	A07 King's Indian Attack
21	71. Karpov vs I A Zaitsev		½-½	23	1966	Masters-Candidate Masters	A07 King's Indian Attack
22	72. E Hatlebakk vs Karpov		0-1	49	1966	Stockholm tt-jr	C96 Ruy Lopez, Closed
23	73. Karpov vs E Hatlebakk		½-½	51	1966	Stockholm tt-jr	C80 Ruy Lopez, Open
24	74. Kupreichik vs Karpov		0-1	33	1966	2nd Christmas Tournament	C77 Ruy Lopez
25	75. Karpov vs Smejkal		1-0	28	1966	2nd Christmas Tournament	A07 King's Indian Attack
