Game;;Result;Moves;Year;Event/Locale;Opening
3651. Y Hou vs Karpov;;½-½;63;2018;Hou - Karpov Match;C77 Ruy Lopez
3652. Karpov vs Y Hou;;1-0;43;2018;Hou - Karpov Match;A70 Benoni, Classical with 7.Nf3
3653. Y Hou vs Karpov;;1-0;53;2018;Hou - Karpov Match;A15 English
3654. M Santos Ruiz vs Karpov;;½-½;33;2018;8th Salamanca Uni Masters;D12 Queen's Gambit Declined Slav
3655. Karpov vs E Atalik;;1-0;43;2018;8th Salamanca Uni Masters;D85 Grunfeld
3656. J C Schroeder vs Karpov;;½-½;45;2018;Bundesliga 2018/19;C53 Giuoco Piano
3657. M Baldauf vs Karpov;;½-½;61;2019;Bundesliga 2018/19;E38 Nimzo-Indian, Classical, 4...c5
3658. Karpov vs Z Almasi;;0-1;49;2019;Bundesliga 2018/19;E62 King's Indian, Fianchetto
3659. Karpov vs M Matlakov;;½-½;27;2019;Russian Team Championship (Premier);E32 Nimzo-Indian, Classical
3660. Romanishin vs Karpov;;½-½;27;2019;Platja d'Aro Legends Rap;A46 Queen's Pawn Game
3661. Romanishin vs Karpov;;0-1;30;2019;Platja d'Aro Legends Blitz;E17 Queen's Indian
3662. Romanishin vs Karpov;;0-1;40;2019;Platja d'Aro Legends Blitz;A07 King's Indian Attack
3663. Karpov vs Huebner;;1-0;58;2020;Leiden Noteboom 80th;E17 Queen's Indian
3664. Huebner vs Karpov;;½-½;33;2020;Leiden Noteboom 80th;A46 Queen's Pawn Game
3665. D Paravyan vs Karpov;;1-0;49;2021;Smyslov Region Group Cup;C53 Giuoco Piano
3666. Karpov vs D Paravyan;;1-0;59;2021;Smyslov Region Group Cup;A80 Dutch
3667. M Kobalia vs Karpov;;1-0;25;2021;Smyslov Region Group Cup;C84 Ruy Lopez, Closed
3668. Karpov vs M Kobalia;;0-1;32;2021;Smyslov Region Group Cup;D12 Queen's Gambit Declined Slav
3669. Karjakin vs Karpov;;½-½;16;2022;Moscow Stars;B10 Caro-Kann
3670. Karpov vs Karjakin;;½-½;20;2022;Moscow Stars;D27 Queen's Gambit Accepted, Classical
3671. Morozevich vs Karpov;;1-0;22;2022;Moscow Stars;A45 Queen's Pawn Game
3672. Karpov vs Morozevich;;½-½;17;2022;Moscow Stars;D22 Queen's Gambit Accepted
3673. Morozevich vs Karpov;;½-½;58;2022;Moscow Stars;A45 Queen's Pawn Game
